asOfDate,symbol,Sector,DilutedEPS,ROA,ROE,P/B Ratio,P/S Ratio,Net Profit Margin,Gross Profit Margin,Operating Margin,LTDTA Ratio,Quick Ratio,Cash Ratio,Enterprise Multiple,Operating Cash Flow Ratio,PE_Ratio,DE_Ratio,log re,price
2019-03-31,JBL.JO,Basic Materials,0.003304040532933,4.404421176321641,5.809496761791927,14.8690674137833,50.83346200693775,15.92487560572523,51.06427937619692,14.510526899425276,0.0762164457632181,3.656732860660113,2.4287166631144776,43.34832536035185,604.9128337094066,-249.8511115544851,0.2525396278049207,4.02535169073515,56.0
2019-06-30,JBL.JO,Basic Materials,0.0047,6.853617690527834,9.16629966754408,16.975723420968393,56.63636323226918,29.6516279149634,54.59376163966142,22.69629093212476,0.1018865623225214,4.027189023195713,2.719477199481456,456.747596060512,280.8281710528971,565.9574468085108,0.2967659523700476,4.143134726391533,63.0
2017-12-31,JSC.JO,Industrials,0.0042203115030962,0.6549078452889019,2.064062259161454,0.5862145904124147,0.1185446452944331,0.4743133527363381,30.68955070894312,2.3597096500181745,0.214639422636033,1.1059473317689617,0.2293287989680398,-10.018266659325786,6.93949627685312,-1.918493691557796,2.3025830807039456,3.893673923273981,49.090911865234375
2018-03-31,JSC.JO,Industrials,-0.01342637643085,0.7488358736303669,2.730964027488855,0.6038049914168331,0.1140346306956842,0.5089793532284593,30.99578433599788,1.7419285442238923,0.1996689583926349,1.0308456166782558,0.2007781907499443,-22.43350340421148,7.517032883769874,-3.951552105430271,2.4420760913495214,4.15603816383169,63.81818389892578
2018-06-30,JSC.JO,Industrials,-0.033,1.0557153246066375,4.321182532613229,0.6169253064112546,0.1098332632860917,0.6682166852790948,31.425450468710643,1.254660735099378,0.1770530323064039,0.953445313541969,0.1775391028507619,-29.913595244292413,7.58140986580816,-5.151515151515151,2.5552421664977305,3.9889840465642745,54.0
2018-09-30,JSC.JO,Industrials,-0.054557935822856,1.5825707654401049,6.865079323169345,0.625420876779877,0.1059524356113729,0.9561420169691928,31.982527999119007,0.902460173954418,0.1465437176364149,0.8736978878448115,0.1597981236450489,-32.290373384659794,7.1154036860081336,-5.490017584318973,2.641157211413616,3.893673923273981,49.090911865234375
2018-12-31,JSC.JO,Industrials,-0.0778947569900544,2.327213521183153,10.350295335867193,0.6291214635435418,0.1024403204163329,1.371699138538943,32.66296575738999,0.6914487845532021,0.1083477658411886,0.7924457143915655,0.1478420675244798,-29.453302879943497,6.115404770573939,-4.949093504827248,2.698421934583431,3.4657359027997265,32.0
2019-03-31,JSC.JO,Industrials,-0.1024455545130418,3.266405407603512,14.6705922421147,0.6281018442947872,0.0993613319231428,1.901722452068229,33.447978151610045,0.6216431385630318,0.0635443585963674,0.7115038570764378,0.1417435769040896,-21.63284397371876,4.620438853201663,-3.5689712796509747,2.726718930418232,3.1354942159291497,23.0
2019-06-30,JSC.JO,Industrials,-0.129,4.427940537303996,19.954799164469406,0.6224053610332229,0.0966068909091708,2.5618210673008868,34.361742815567695,0.6884394054626743,0.010764012364253,0.6281985212465688,0.1412060745759203,-8.652399099899117,2.5892855051254857,-1.3178294573643412,2.7274534794799896,2.833213344056216,17.0
2017-12-31,KAL.JO,Consumer Defensive,3.364607778915884,6.86952935587894,14.699628679242483,1.74177913091607,0.4445910557057371,3.8209539869018383,17.12425688233737,4.453808545853562,0.001242111753726,0.8675248839523472,0.0197312537067963,15.101142869099457,7.946798281807912,9.022166947951256,1.1515448465471096,0.0,
2018-03-31,KAL.JO,Consumer Defensive,3.365586432255041,6.643468482400285,14.33761511043161,1.5586116873303244,0.4083607759892477,3.839433367239496,17.122122411332846,4.505544069390802,0.0016471481951585,0.8524869254753814,0.0195719573465152,14.450449958146338,8.93236990938199,9.012849775976166,1.1741812814314838,0.0,
2018-06-30,KAL.JO,Consumer Defensive,3.400014354258349,6.443392108372718,14.153011981627936,1.404035241765539,0.3736034055057323,3.819603972235511,17.025846056040677,4.524200716389068,0.001242111753726,0.8338317315670022,0.0193520277271089,13.853888667086968,9.42382858104756,8.930738618412835,1.2080361404018274,0.0,
2018-09-30,KAL.JO,Consumer Defensive,3.469,6.270244862092401,14.151833640223536,1.27906502710034,0.3403811144617044,3.760189091333319,16.832307877192026,4.5086628940630735,0.0,0.8114449327132682,0.0190695135789788,13.31349308015759,9.404431851994552,8.773423846704741,1.2534729673744769,0.0,
2018-12-31,KAL.JO,Consumer Defensive,3.572351813316633,6.126384553169977,14.337122098549704,1.1855707504743291,0.3090863275492891,3.661191506582037,16.542040152660554,4.458537608972828,-0.0020792859760176,0.78551225999141,0.0187265029257754,12.836161555409642,8.86595800619271,8.54140176326613,1.3101809874162471,0.0,
2019-03-31,KAL.JO,Consumer Defensive,3.706710500308698,6.013990491152429,14.698812968674234,1.1245659444816043,0.2803369682868966,3.5260447265413166,16.164484417988664,4.376034220434729,-0.0049234429658563,0.7567122556061397,0.0183324109379361,12.430229330026012,7.836916769258374,8.24213478146738,1.3765625419037184,0.0,
2019-06-30,KAL.JO,Consumer Defensive,3.839967626154847,5.909270330736608,15.049774314552472,1.082648644677015,0.2559897229071031,3.387000091171173,15.7820240210225,4.291203785244664,-0.0053733845463388,0.7326778032920376,0.0179023557585344,12.132434442642491,6.659527514885595,7.945956916409295,1.4400723403323876,0.0,
2019-09-30,KAL.JO,Consumer Defensive,3.9348,5.7922920658631964,15.186778981217506,1.0492501891561612,0.2391423174010919,3.281303244860096,15.491166086100488,4.237320623982432,0.0,0.7223984802639953,0.0174634810661954,11.999511408669028,5.709706164381722,7.7348295527647535,1.48552730489532,0.0,
2019-12-31,KAL.JO,Consumer Defensive,3.989524166479869,5.664145164382873,15.104773926299774,1.0248799387585703,0.2301048369897622,3.210673849185646,15.296639899381958,4.215492144474762,0.0112336041023799,0.7262152741211554,0.0170204912188526,12.035653112157002,5.001716725992346,7.612492388917062,1.5121265994363622,0.0,
2020-03-31,KAL.JO,Consumer Defensive,4.004196866520323,5.5264039649617125,14.808208382049994,1.0096561218434257,0.2288486407819663,3.1753099346227183,15.198994940285642,4.225434875711903,0.0281101224953975,0.7438577026911907,0.0165782681753634,12.237720205502226,4.539326111392336,7.578832755513895,1.5198874167166472,0.0,
2020-06-30,KAL.JO,Consumer Defensive,3.979628538064568,5.377735605835704,14.297368321681729,1.003265311382172,0.2352335114112519,3.174255277942813,15.195598942303812,4.266739234974743,0.0507201567371362,0.7752914762430735,0.0161320189505669,12.605196690496577,4.313538765249339,7.632043590508379,1.5092002420957893,0.0,
2017-12-31,KAP.JO,Industrials,0.5753489585288047,5.461134415621251,13.061336258187106,1.795730689892589,0.9983392166842964,7.066021522934857,20.410911562957423,12.98597190263963,0.2629818747138689,1.116634582565508,0.3844354682270927,17.322425972481803,13.323165377960445,5.381922313383468,1.335151091016066,6.682004266251703,797.916748046875
2018-03-31,KAP.JO,Industrials,0.5812144117095139,5.498242704445925,13.023795982329291,1.7556552372494654,0.9641257330647302,6.9632291896044345,20.000124675656984,12.837785949397752,0.2547767736503005,1.1048162740386316,0.378669505864213,16.95760162552149,13.078769403909414,5.341912192159461,1.3111091501163838,6.543810847040602,694.9298095703125
2018-06-30,KAP.JO,Industrials,0.5720000000000001,5.402750491159137,12.669683257918551,1.6705803353337787,0.9068449355649144,6.700021753317381,19.61279095061997,12.473352186208398,0.2441762559640752,1.0825499914544523,0.3676294650487096,16.550842002098378,12.355560666247516,5.506993006993007,1.2845235232828405,6.5740564512055135,716.2694702148438
2018-09-30,KAP.JO,Industrials,0.5472036779883656,5.170248511127786,11.988517797627477,1.5390290504505424,0.8257447634977028,6.271119447247634,19.249839143460008,11.885556757844306,0.2311039377159753,1.0494937460996627,0.3511426381937048,16.100891356159163,11.13775693560056,5.883978089142449,1.255318744661607,6.654741776255457,776.4573974609375
2018-12-31,KAP.JO,Industrials,0.5068421092137363,4.801043176317949,10.982425040855963,1.3616874110091983,0.721327955327896,5.67852502976465,18.915682162357825,11.07720575935717,0.2156634375574832,1.0058345979264252,0.3293012435169645,15.612007982765451,9.43064628398969,6.47220139755791,1.2237742481399518,6.511830666392792,673.0574340820312
2019-03-31,KAP.JO,Industrials,0.4522966034903359,4.307586105445871,9.683795245931233,1.1438930137496015,0.5966192571560797,4.940420094836304,18.61665213186244,10.07301195184521,0.1982670822693894,0.9528649002707664,0.3027534341616452,15.096080127194533,7.287179852275081,7.252037180497264,1.1906515259277877,6.282623197123218,535.1907348632812
2019-06-30,KAP.JO,Industrials,0.382,3.675633361799032,8.054580896686161,0.8791245122772581,0.4478377427200999,4.034841028044683,18.342317006483867,8.843059136005,0.1783731853116994,0.8889899909008189,0.2707006369426751,14.536538067287356,4.643799874086675,8.24607329842932,1.154884220211624,6.115569112460052,452.85369873046875
2017-12-31,KIO.JO,Basic Materials,38.37,19.746742227771907,35.477005378354285,1.960982751704765,1.925762099423128,26.59608874706225,70.24515405679294,36.180167748334384,0.0,2.873870967741936,2.237741935483871,8.556060042433325,5.250730182783377,16.577242352423767,0.3714925569753656,9.94879771016744,20927.046875
2018-03-31,KIO.JO,Basic Materials,32.78863868507592,17.082402000876634,30.43158978505636,1.7079196082202406,1.7757546976231136,24.140177658043108,71.06110522186732,34.829775962815205,0.0,2.886728925355029,2.1939215699577743,8.365550552625944,5.148032393753023,19.33123176345274,0.3625927262853247,10.033138341853824,22768.615234375
2018-06-30,KIO.JO,Basic Materials,29.46482552763087,15.423599417211552,27.34089989455469,1.5570588553493143,1.6689019242548482,22.37766252719232,71.69243922405049,34.24234045148884,0.0,2.8662505029635272,2.140610213585928,8.153639703523053,5.034314096112652,21.057143126384737,0.3584718181496896,10.118293394679842,24792.423828125
